"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1236","TC-0002 - Verify that the user can search for a doctor using the search functionality","chromium","2026-06-06","passed","2026-06-06","CLI-0001: UI - Search Doctor","ui/clinic-app/CLI-0001-UI-SearchDoctor.spec.ts","",""
"","1338","TC-0002 - Verify that the user can search for a doctor using the search functionality","firefox","2026-06-06","passed","2026-06-06","CLI-0001: UI - Search Doctor","ui/clinic-app/CLI-0001-UI-SearchDoctor.spec.ts","",""
"","3946","TC-0001 - User should be able to search for a product.","chromium","2026-06-06","passed","2026-06-06","SHOP-0001: UI - Search Products","ui/shop-app/SHOP-0001-UI-SearchProducts.spec.ts","",""
"","2846","TC-0002 - Verify that the user can search for a doctor using the search functionality","webkit","2026-06-06","passed","2026-06-06","CLI-0001: UI - Search Doctor","ui/clinic-app/CLI-0001-UI-SearchDoctor.spec.ts","",""
"","4931","TC-0002 - User should be able to add a product to the cart.","webkit","2026-06-06","passed","2026-06-06","SHOP-0001: UI - Search Products","ui/shop-app/SHOP-0001-UI-SearchProducts.spec.ts","",""
"","4100","TC-0002 - User should be able to add a product to the cart.","firefox","2026-06-06","passed","2026-06-06","SHOP-0001: UI - Search Products","ui/shop-app/SHOP-0001-UI-SearchProducts.spec.ts","",""
"","4187","TC-0001 - User should be able to search for a product.","firefox","2026-06-06","passed","2026-06-06","SHOP-0001: UI - Search Products","ui/shop-app/SHOP-0001-UI-SearchProducts.spec.ts","",""
"","1084","TC-0001 - Verify that the user can successfully Navigate to MediBook page","chromium","2026-06-06","passed","2026-06-06","CLI-0001: UI - Search Doctor","ui/clinic-app/CLI-0001-UI-SearchDoctor.spec.ts","",""
"","2048","TC-0001 - Verify that the user can successfully Navigate to MediBook page","firefox","2026-06-06","passed","2026-06-06","CLI-0001: UI - Search Doctor","ui/clinic-app/CLI-0001-UI-SearchDoctor.spec.ts","",""
"","5055","TC-0001 - User should be able to search for a product.","webkit","2026-06-06","passed","2026-06-06","SHOP-0001: UI - Search Products","ui/shop-app/SHOP-0001-UI-SearchProducts.spec.ts","",""
"","4894","TC-0001 - Verify that the user can successfully Navigate to MediBook page","webkit","2026-06-06","passed","2026-06-06","CLI-0001: UI - Search Doctor","ui/clinic-app/CLI-0001-UI-SearchDoctor.spec.ts","",""
"","3841","TC-0002 - User should be able to add a product to the cart.","chromium","2026-06-06","passed","2026-06-06","SHOP-0001: UI - Search Products","ui/shop-app/SHOP-0001-UI-SearchProducts.spec.ts","",""
