"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1975","TC-0001 - Verify that the user can successfully Navigate to MediBook page","chromium","2026-06-06","passed","2026-06-06","CLI-0001: UI - Search Doctor","ui/clinic-app/CLI-0001-UI-SearchDoctor.spec.ts","",""
"","4095","TC-0001 - User should be able to search for a product.","chromium","2026-06-06","passed","2026-06-06","SHOP-0001: UI - Search Products","ui/shop-app/SHOP-0001-UI-SearchProducts.spec.ts","",""
"","5283","TC-0001 - User should be able to search for a product.","webkit","2026-06-06","passed","2026-06-06","SHOP-0001: UI - Search Products","ui/shop-app/SHOP-0001-UI-SearchProducts.spec.ts","",""
"","4594","TC-0002 - User should be able to add a product to the cart.","firefox","2026-06-06","passed","2026-06-06","SHOP-0001: UI - Search Products","ui/shop-app/SHOP-0001-UI-SearchProducts.spec.ts","",""
"","3147","TC-0002 - Verify that the user can search for a doctor using the search functionality","webkit","2026-06-06","passed","2026-06-06","CLI-0001: UI - Search Doctor","ui/clinic-app/CLI-0001-UI-SearchDoctor.spec.ts","",""
"","1294","TC-0002 - Verify that the user can search for a doctor using the search functionality","chromium","2026-06-06","passed","2026-06-06","CLI-0001: UI - Search Doctor","ui/clinic-app/CLI-0001-UI-SearchDoctor.spec.ts","",""
"","4053","TC-0002 - User should be able to add a product to the cart.","chromium","2026-06-06","passed","2026-06-06","SHOP-0001: UI - Search Products","ui/shop-app/SHOP-0001-UI-SearchProducts.spec.ts","",""
"","5245","TC-0002 - User should be able to add a product to the cart.","webkit","2026-06-06","passed","2026-06-06","SHOP-0001: UI - Search Products","ui/shop-app/SHOP-0001-UI-SearchProducts.spec.ts","",""
"","1611","TC-0002 - Verify that the user can search for a doctor using the search functionality","firefox","2026-06-06","passed","2026-06-06","CLI-0001: UI - Search Doctor","ui/clinic-app/CLI-0001-UI-SearchDoctor.spec.ts","",""
"","6822","TC-0001 - Verify that the user can successfully Navigate to MediBook page","webkit","2026-06-06","passed","2026-06-06","CLI-0001: UI - Search Doctor","ui/clinic-app/CLI-0001-UI-SearchDoctor.spec.ts","",""
"","2406","TC-0001 - Verify that the user can successfully Navigate to MediBook page","firefox","2026-06-06","passed","2026-06-06","CLI-0001: UI - Search Doctor","ui/clinic-app/CLI-0001-UI-SearchDoctor.spec.ts","",""
"","4416","TC-0001 - User should be able to search for a product.","firefox","2026-06-06","passed","2026-06-06","SHOP-0001: UI - Search Products","ui/shop-app/SHOP-0001-UI-SearchProducts.spec.ts","",""
